,pvals,direction,sig,logdiff
Zfp426,0.02955305736266896,DOWN,2.4991105517648053,-0.5269710305040013
Hpn,0.046867015643291085,UP,-2.237977603945351,1.1382746804565105
Pcdh19,1.3437522172283296e-05,UP,-7.409500802061734,2.379298159371834
Apold1,5.242035495633393e-05,UP,-6.377385057645867,1.8568206296672516
Cbfa2t3,0.023924376265392858,DOWN,2.6177522061500054,-1.479050423872795
Gprc5c,0.012259823340405873,UP,-2.9917256028343537,1.4294254208311528
Stau2,0.010249829973251466,DOWN,3.091977428876561,-0.4275259596042913
Lipa,0.01788918160016971,DOWN,2.7804602035114483,-0.6237152980012768
Foxp4,0.02925384624956221,UP,-2.5048353693939207,1.3867896394162726
Anxa7,0.00014301139659634893,UP,-5.676824952893899,1.6946039445533996
Cd33,0.048750876031959586,DOWN,2.2154610149489278,-0.5172518397928018
Runx1,0.002109158448814133,UP,-3.993597738950338,1.231948326874016
Mpped2,0.016871960816669276,UP,-2.8131899701445864,3.0191406828929437
Lrrc27,0.02628005283111956,DOWN,2.565073086193506,-1.7916484470351477
Nars,0.04839793617958754,DOWN,2.2196153907485994,-0.25479419181906754
AK010878,0.007784885538165137,DOWN,3.2463998925594293,-0.6788232675886541
Moap1,0.023363533586973878,DOWN,2.6310471457862694,-0.6285634675899627
Tcf7l2,0.01374937443782895,UP,-2.927597376826026,0.9780600587337797
H2-Q4,0.01056290926879271,UP,-3.0751207003010586,0.8932215087038298
Tgtp2,0.0006923062064880607,UP,-4.661252141285353,3.124022309109657
Fam13c,0.0027930583908395055,DOWN,3.830278145867899,-2.0475757767951275
Spg20,0.025102178676156914,DOWN,2.590804777348018,-0.5066340402023821
Nmi,0.03740040961381528,UP,-2.3662255605702027,0.5225930813791758
Rbms1,0.017334746005985197,UP,-2.7980623298530904,0.46994383453524075
Lmo2,0.04422202850380401,DOWN,2.2711004142109372,-0.8097577212323397
Cfb,0.0005163143140298794,UP,-4.843236339856548,3.5467486147337257
Vipar,0.011232271777482813,DOWN,3.040713474488542,-0.9393394777991628
Slc37a2,0.015227963618912784,DOWN,2.8704975200123686,-0.6528954656347488
Fchsd2,0.02328780113532938,DOWN,2.6328664982198857,-0.7400062687989697
Ctla2a,0.0005222199222102756,UP,-4.836126199490136,2.0480657970496448
Zkscan3,0.003237973437959785,DOWN,3.744991466075601,-0.8111844548847088
Kcnt1,0.034905702882853606,UP,-2.405266654493348,2.2433033710101977
Ralgds,0.0029855656755545436,UP,-3.7917657129471696,1.5146096452344093
Cecr2,0.003257661659056718,UP,-3.7415029036715097,1.5186962852298351
Sgce,0.03159872370494833,DOWN,2.4614253665807064,-0.4148097869944076
Heatr8,0.030732409086830653,UP,-2.477084835012089,1.7857512899869603
Snx10,0.009353269088711025,UP,-3.1432969725324584,0.8676648385898975
Sema6b,0.001232362901218919,UP,-4.311344532709327,2.5989436634343215
Prr24,0.019332790983913405,UP,-2.7370600906885136,0.8423999349026589
Ldha,0.00626222940024965,UP,-3.369096910305505,1.9778988080230713
Hmox2,6.567898407788133e-05,DOWN,6.2158429816207965,-0.5536071694186392
Ccdc36,0.03290693797604171,DOWN,2.438554512435167,-1.2046719924302933
Timeless,0.04059450522461233,UP,-2.3197665344033385,0.6519223587049396
Ptger4,0.006794149964563072,UP,-3.323075028570497,1.0068606313744652
Fam116a,0.004055787937713895,DOWN,3.6158529554281955,-0.9124066065653214
Gpr160,0.017072392846894973,DOWN,2.806588017095088,-1.2379957077925092
Slc39a14,0.006393856378555558,UP,-3.357346794753773,0.9794746334653023
Gm12250,0.004081064867313237,UP,-3.6123029673619946,2.6713635942901877
Tnip1,0.002082721770040529,UP,-4.000974257224564,2.3561164158648764
Daxx,0.0019163012275103984,UP,-4.0497707615364265,1.22472904171025
Trp53inp1,0.0450854259435808,UP,-2.2600839622766875,0.9219395001233182
Snx5,0.006463889956046607,DOWN,3.3511953418787916,-0.6150156604764924
AI607873,0.0025587499915104097,UP,-3.8810455142142692,1.0619874513142493
Hdac7,0.03587355541351328,DOWN,2.3898082481158442,-1.8728003224765646
Jdp2,0.026170648529346745,UP,-2.567414828705032,1.3756379788863287
Spp1,0.00491298454275487,UP,-3.506589927935051,1.5046942361963627
Rapgef4,0.024655929773051536,UP,-2.600865128978804,0.8198740379204031
C1qtnf1,0.014953919722789151,UP,-2.8806487665310243,1.5575215233434836
Papss2,0.007387393975283342,UP,-3.2758976943299025,1.4586381878931105
H2-Q9,0.013943910536379918,UP,-2.919742294422037,1.0083027969166851
Jak3,0.03418417599983051,UP,-2.4170641261981847,0.9775566833617185
Ddx19b,0.021147663340113837,UP,-2.686854196248773,0.6972422981076345
Lims1,0.003841408655975994,DOWN,3.646910778435171,-0.6260131295099584
Nup35,0.024332146343941867,DOWN,2.6082775245937,-0.9381094367827005
Gpr155,0.049770670038714035,DOWN,2.203616749121676,-0.5332051465014279
Magt1,0.034873986844605076,DOWN,2.405780233452108,-0.3346601751154324
Dync1i2,0.026874157113879284,DOWN,2.552521509778574,-0.36435410960422293
Bcar1,0.022349572708973964,UP,-2.655903681055584,1.4903064359470946
Nuak2,0.00964083205902516,UP,-3.126313072946066,1.0448097629358715
Birc2,0.0006461881092491437,UP,-4.703768799859525,0.8755947372010603
Birc3,0.00012220961859644037,UP,-5.783493458030019,1.3689702680806939
Apod,0.003618531903830492,UP,-3.6811542209059684,2.743231916369729
Rhoc,0.0002844374321515396,UP,-5.222426848344522,2.448547224319282
Amd2,0.04700514160906526,DOWN,2.236297504973391,-0.4326165137211821
Adam7,0.02982188246139657,UP,-2.4940152694662636,2.171127050886581
Adam9,0.011056509625970212,UP,-3.0495435606986967,0.4499385891660278
Adam8,0.025773931261737527,UP,-2.575987847658198,1.5531390255558104
Acvr2b,0.03878133728006085,UP,-2.3456864142739917,1.0970243979343473
Adora2b,0.012218197562048219,UP,-2.993628340430504,2.043658859997449
